ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
300661.SZ,2020-10-15,256.0,260.97,254.7,258.19,254.63,3.56,1.3981,21629.18,557504.859
300661.SZ,2020-10-16,259.8,259.98,254.3,257.3,258.19,-0.89,-0.3447,11091.78,285534.464
300661.SZ,2020-10-19,257.0,257.0,246.1,248.6,257.3,-8.7,-3.3813,20976.71,524726.937
300661.SZ,2020-10-20,248.98,250.38,242.57,250.3,248.6,1.7,0.6838,17492.93,431189.585
300661.SZ,2020-10-21,251.03,252.0,246.59,249.7,250.3,-0.6,-0.2397,12296.19,306845.686
300661.SZ,2020-10-22,247.0,252.0,247.0,248.0,249.7,-1.7,-0.6808,9368.63,234046.071
300661.SZ,2020-10-23,247.01,249.45,237.59,238.38,248.0,-9.62,-3.879,14207.65,342645.694
300661.SZ,2020-10-26,235.91,252.86,235.0,251.7,238.38,13.32,5.5877,16965.3,418569.85
300661.SZ,2020-10-27,251.49,264.95,249.0,257.04,251.7,5.34,2.1216,18215.06,472131.511
300661.SZ,2020-10-28,253.1,262.0,253.09,257.23,257.04,0.19,0.0739,10970.82,282595.442
300661.SZ,2020-10-29,255.05,264.66,251.01,260.33,257.23,3.1,1.2051,14294.34,373267.572
300661.SZ,2020-10-30,263.13,280.65,259.57,272.6,260.33,12.27,4.7132,30524.46,829911.361
300661.SZ,2020-11-02,271.0,292.49,270.67,291.9,272.6,19.3,7.08,28090.53,790184.036
300661.SZ,2020-11-03,290.0,297.28,285.5,293.0,291.9,1.1,0.3768,22086.6,646021.958
300661.SZ,2020-11-04,290.0,295.0,283.18,291.1,293.0,-1.9,-0.6485,14782.28,427149.581
300661.SZ,2020-11-05,294.6,300.0,291.5,296.19,291.1,5.09,1.7485,15904.11,470069.075
300661.SZ,2020-11-06,295.0,301.8,292.15,298.4,296.19,2.21,0.7461,16870.23,500717.879
300661.SZ,2020-11-09,304.0,343.4,303.0,338.18,298.4,39.78,13.3311,40928.63,1335441.57
300661.SZ,2020-11-10,329.55,333.0,320.2,322.0,338.18,-16.18,-4.7844,24961.62,811300.007
300661.SZ,2020-11-11,326.83,327.98,292.1,296.89,322.0,-25.11,-7.7981,28508.97,874810.329
300661.SZ,2020-11-12,306.87,311.28,300.18,301.4,296.89,4.51,1.5191,17573.34,537321.939
300661.SZ,2020-11-13,304.0,316.0,301.0,309.85,301.4,8.45,2.8036,19379.02,597650.374
300661.SZ,2020-11-16,309.53,309.88,299.3,305.48,309.85,-4.37,-1.4104,14857.99,452637.861
300661.SZ,2020-11-17,305.0,307.89,292.59,302.3,305.48,-3.18,-1.041,21805.28,651255.55
300661.SZ,2020-11-18,302.0,306.27,296.02,300.47,302.3,-1.83,-0.6054,14733.59,444414.812
300661.SZ,2020-11-19,295.99,309.88,294.59,296.64,300.47,-3.83,-1.2747,17901.27,539997.588
300661.SZ,2020-11-20,296.64,299.0,291.01,292.46,296.64,-4.18,-1.4091,12978.58,381590.265
300661.SZ,2020-11-23,288.0,294.88,282.22,288.3,292.46,-4.16,-1.4224,16150.5,465428.863
300661.SZ,2020-11-24,288.3,300.01,286.11,292.49,288.3,4.19,1.4533,19186.93,566985.052
300661.SZ,2020-11-25,289.51,295.58,289.05,290.01,292.49,-2.48,-0.8479,10703.26,312465.826
300661.SZ,2020-11-26,288.88,295.51,288.88,291.0,290.01,0.99,0.3414,11679.92,341589.378
300661.SZ,2020-11-27,287.0,303.03,286.03,298.61,291.0,7.61,2.6151,14594.47,433575.71
300661.SZ,2020-11-30,298.12,311.06,289.9,311.06,298.61,12.45,4.1693,26560.43,804861.912
300661.SZ,2020-12-01,310.24,314.99,303.85,309.75,311.06,-1.31,-0.4211,16945.52,524254.956
300661.SZ,2020-12-02,308.5,323.23,303.51,304.95,309.75,-4.8,-1.5496,16837.48,523291.657
300661.SZ,2020-12-03,304.95,307.99,289.0,295.55,304.95,-9.4,-3.0825,16058.97,475425.97
300661.SZ,2020-12-04,295.55,299.34,291.99,295.05,295.55,-0.5,-0.1692,7895.38,233548.109
300661.SZ,2020-12-07,298.74,303.64,295.48,296.2,295.05,1.15,0.3898,9606.08,286520.452
300661.SZ,2020-12-08,295.01,299.7,291.26,291.81,296.2,-4.39,-1.4821,10245.26,302024.395
300661.SZ,2020-12-09,290.06,293.89,277.93,278.28,291.81,-13.53,-4.6366,15907.02,453370.874
300661.SZ,2020-12-10,279.84,289.4,278.05,282.0,278.28,3.72,1.3368,18400.69,522500.121
300661.SZ,2020-12-11,281.0,292.8,279.0,280.11,282.0,-1.89,-0.6702,23728.4,675016.538
300661.SZ,2020-12-14,287.0,290.97,278.1,280.22,280.11,0.11,0.0393,22157.67,625070.201
300661.SZ,2020-12-15,277.81,284.85,275.33,275.45,280.22,-4.77,-1.7022,18479.21,516859.605
300661.SZ,2020-12-16,272.67,276.08,267.04,274.01,275.45,-1.44,-0.5228,17005.05,463070.843
300661.SZ,2020-12-17,271.02,286.5,271.02,284.42,274.01,10.41,3.7991,17785.76,498068.344
300661.SZ,2020-12-18,288.0,297.74,283.5,284.41,284.42,-0.01,-0.0035,14725.76,426578.039
300661.SZ,2020-12-21,284.91,289.89,276.6,278.9,284.41,-5.51,-1.9373,17665.75,496637.769
300661.SZ,2020-12-22,276.07,279.8,271.28,271.74,278.9,-7.16,-2.5672,14208.25,390210.436
300661.SZ,2020-12-23,270.35,276.31,270.35,272.79,271.74,1.05,0.3864,11583.92,316454.543
300661.SZ,2020-12-24,270.5,277.69,269.13,277.09,272.79,4.3,1.5763,13236.48,362240.143
300661.SZ,2020-12-25,275.8,276.5,261.0,263.49,277.09,-13.6,-4.9082,18279.94,487087.709
300661.SZ,2020-12-28,264.12,267.49,255.77,259.82,263.49,-3.67,-1.3928,15452.28,404449.017
300661.SZ,2020-12-29,260.06,271.88,258.89,264.93,259.82,5.11,1.9667,14095.92,374204.039
300661.SZ,2020-12-30,264.64,268.6,257.2,261.88,264.93,-3.05,-1.1512,15378.62,402407.319
300661.SZ,2020-12-31,262.0,269.44,258.6,263.8,261.88,1.92,0.7332,21257.99,562604.901
300661.SZ,2021-01-04,265.05,285.0,259.0,284.6,263.8,20.8,7.8848,30540.72,842598.342
300661.SZ,2021-01-05,283.59,295.0,280.06,292.95,284.6,8.35,2.9339,33065.42,949720.039
300661.SZ,2021-01-06,292.0,293.0,275.15,277.0,292.95,-15.95,-5.4446,25126.47,705536.239
300661.SZ,2021-01-07,277.01,279.8,263.0,265.0,277.0,-12.0,-4.3321,21226.48,569169.596
300661.SZ,2021-01-08,266.92,271.0,261.61,265.56,265.0,0.56,0.2113,14320.91,381432.731
300661.SZ,2021-01-11,269.0,274.5,251.4,252.41,265.56,-13.15,-4.9518,32033.31,843323.262
300661.SZ,2021-01-12,253.44,256.75,245.0,256.0,252.41,3.59,1.4223,22485.41,566870.91
300661.SZ,2021-01-13,256.18,273.27,255.04,272.0,256.0,16.0,6.25,30032.29,796369.138
300661.SZ,2021-01-14,272.0,292.0,270.99,276.59,272.0,4.59,1.6875,47603.98,1349445.249
300661.SZ,2021-01-15,277.94,294.0,277.94,291.0,276.59,14.41,5.2099,43063.34,1245021.222
300661.SZ,2021-01-18,290.49,318.85,290.49,314.03,291.0,23.03,7.9141,37791.9,1170037.028
300661.SZ,2021-01-19,315.97,324.8,312.68,313.98,314.03,-0.05,-0.0159,25132.26,798730.558
